name,year,nominations,rating,duration,genre1,genre2,release,metacritic,synopsis
 Rain Man,1988,8,8,133,Drama,,December,65,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
 The Last Emperor,1987,9,7.8,163,Biography,Drama,October,76,The story of the final Emperor of China.
 Platoon,1986,8,8.1,120,Drama,War,February,,A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
 Out of Africa,1985,11,7.2,161,Biography,Drama,December,,In 20th-century colonial Kenya a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.
 Amadeus,1984,11,8.3,160,Biography,Drama,October,93,The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
 Terms of Endearment,1983,11,7.4,132,Comedy,Drama,December,79,Follows hard-to-please Aurora looking for love and her daughters family problems.
 Gandhi,1982,11,8.1,191,Biography,Drama,December,,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
 Chariots of Fire,1981,7,7.3,125,Biography,Drama,May,,Two British track athletes one a determined Jew and the other a devout Christian compete in the 1924 Olympics.
 Ordinary People,1980,6,7.8,124,Drama,,February,85,The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son.
 Kramer vs. Kramer,1979,9,7.8,105,Drama,,December,77,Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
 The Deer Hunter,1978,9,8.2,183,Drama,War,February,73,An in-depth examination of the ways in which the U.S. Vietnam war impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
 Annie Hall,1977,5,8.1,93,Comedy,Romance,April,,Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
 Rocky,1976,10,8.1,120,Drama,Sport,December,,Rocky Balboa a small-time boxer gets a supremely rare chance to fight the heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect.
 One Flew Over the Cuckoo's Nest,1975,9,8.7,133,Drama,,November,79,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
 The Godfather: Part II,1974,11,9,202,Crime,Drama,December,80,The early life and career of Vito Corleone in 1920s New York is portrayed while his son Michael expands and tightens his grip on his crime syndicate stretching from Lake Tahoe Nevada to pre-revolution 1958 Cuba.
 The Sting,1973,10,8.3,129,Comedy,Crime,December,,In Chicago in September 1936 a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.
 The Godfather,1972,11,9.2,175,Crime,Drama,March,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
 The French Connection,1971,8,7.8,104,Action,Crime,October,96,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
 Patton,1970,10,8,172,Biography,Drama,April,91,The World War II phase of the career of the controversial American general George S. Patton.
 Midnight Cowboy,1969,7,7.9,113,Drama,,June,,A naive hustler goes to New York to seek personal fortune but in the process finds himself a new friend.
 Oliver!,1968,11,7.5,153,Drama,Family,September,,Musical adaptation about an orphan who runs away from an orphanage and hooks up with a group of boys trained to be pickpockets by an elderly mentor.
 In the Heat of the Night,1967,7,8,109,Crime,Drama,October,,An African American police detective is asked to investigate a murder in a racially hostile southern town.
 A Man for All Seasons,1966,8,7.9,120,Biography,Drama,May,,The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.
 The Sound of Music,1965,10,8,174,Biography,Drama,March,,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
 My Fair Lady,1964,12,7.9,170,Drama,Family,December,,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
 Tom Jones,1963,10,6.8,128,Adventure,Comedy,December,,"In eighteenth century England ""first cousins"" Tom Jones and Master Blifil grew up together in privilege in the western countryside but could not be more different in nature. Tom the ...                See full summary »"
 Lawrence of Arabia,1962,10,8.4,216,Adventure,Biography,January,100,Follows a brilliant flamboyant and controversial British military figure and his conflicted loyalties during wartime service.
 West Side Story,1961,11,7.6,152,Crime,Drama,December,,Two youngsters from rival New York City gangs fall in love but tensions between their respective friends build toward tragedy.
 The Apartment,1960,10,8.3,125,Comedy,Drama,September,,A man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue.
 Ben-Hur,1959,12,8.1,212,Adventure,Drama,December,,When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.
 Gigi,1958,9,6.9,115,Comedy,Musical,August,,Weary of the conventions of Parisian society a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship but it may not stay platonic for long.
 The Bridge on the River Kwai,1957,8,8.2,161,Adventure,Drama,October,,After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
 Around the World in 80 Days,1956,8,6.8,175,Adventure,Comedy,October,,Adaptation of Jules Vernes novel about a Victorian Englishman who bets that with the new steamships and railways he can do what the title says.
 Marty,1955,8,7.7,90,Drama,Romance,June,,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.
 On the Waterfront,1954,12,8.3,108,Crime,Drama,June,88,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
 From Here to Eternity,1953,13,7.8,118,Drama,Romance,October,,In 1941 Hawaii a private is cruelly punished for not boxing on his units team while his captains wife and second in command are falling in love.
 The Greatest Show on Earth,1952,5,6.7,152,Drama,Family,May,,The dramatic lives of trapeze artists a clown and an elephant trainer against a background of circus spectacle.
 An American in Paris,1951,8,7.3,113,Musical,Romance,November,,Three friends struggle to find work in Paris. However things become more complicated when two of them fall in love with the same woman.
 All About Eve,1950,14,8.3,138,Comedy,Drama,January,,An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.
 All the King's Men,1949,7,7.6,110,Drama,,January,,The rise and fall of a corrupt politician who makes his friends richer and retains power by dint of a populist appeal.
 Hamlet,1948,7,7.9,155,Drama,,August,,Prince Hamlet struggles over whether or not he should kill his uncle whom he suspects has murdered his father the former king.
 Gentleman's Agreement,1947,8,7.4,118,Drama,,February,,A reporter pretends to be Jewish in order to cover a story on anti-Semitism and personally discovers the true depths of bigotry and hatred.
 The Best Years of Our Lives,1946,8,8.2,172,Drama,Romance,June,,Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.
 The Lost Weekend,1945,7,8,101,Drama,Film-Noir,November,,The desperate life of a chronic alcoholic is followed through a four day drinking bout.
 Going My Way,1944,10,7.3,126,Comedy,Drama,October,,Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summary »
 Casablanca,1943,8,8.6,102,Drama,Romance,January,,Set in Casablanca Morocco during the early days of World War II: An American expatriate meets a former lover with unforeseen complications.
 Mrs. Miniver,1942,12,7.6,134,Drama,Romance,December,,A British family struggles to survive the first months of World War II.
 How Green Was My Valley,1941,10,7.8,118,Drama,Family,April,,At the turn of the century in a Welsh mining village the Morgans (he stern she gentle) raise coal-mining sons and hope their youngest will find a better life.
 Rebecca,1940,11,8.2,130,Drama,Mystery,April,,A self-conscious bride is tormented by the memory of her husbands dead first wife.
 Gone With the Wind,1939,13,8.2,238,Drama,Romance,January,,A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
 You Can't Take it With You,1938,7,8,126,Comedy,Drama,November,,A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.
 The Life of Emile Zola,1937,10,7.3,116,Biography,Drama,October,,The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfuss Affair.
 The Great Ziegfeld,1936,7,6.8,176,Biography,Drama,April,,This biography follows the ups and downs of Florenz Ziegfeld famed producer of extravagant stage revues.
 Mutiny on the Bounty,1935,8,7.8,132,Adventure,Drama,,,Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However Bligh returns one year later hell bent on avenging his captors.
 It Happened One Night,1934,5,8.2,105,Comedy,Romance,February,,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
 Cavalcade,1933,4,6.1,112,Drama,Romance,April,,A cavalcade of English life from New Years Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War...                See full summary »
 Grand Hotel,1931,-,7.6,112,Drama,Romance,September,,A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.
 Cimarron,1930,7,6,123,Drama,Western,February,,A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.
 All Quiet on the Western Front,1929,4,8.1,136,Drama,War,August,,A young soldier faces profound disillusionment in the soul-destroying horror of World War I.
 The Broadway Melody,1928,3,6.4,100,Musical,Romance,June,,Harriet and Queenie Mahoney a vaudeville act come to Broadway where their friend Eddie Kerns needs them for his number in one of Francis Zanfields shows. Eddie was in love with Harriet...                See full summary »
 Wings,1927,-,7.8,144,Drama,Romance,January,,Two young men one rich one middle class who are in love with the same woman become fighter pilots in World War I.
